iter	Passed	Remaining
0	10	5206
1	19	4755
2	29	4771
3	38	4688
4	46	4526
5	55	4527
6	67	4672
7	77	4707
8	85	4640
9	94	4571
10	102	4521
11	112	4525
12	121	4506
13	130	4471
14	138	4426
15	146	4395
16	156	4389
17	163	4345
18	172	4314
19	181	4307
20	190	4289
21	198	4266
22	208	4273
23	216	4256
24	224	4227
25	233	4220
26	242	4202
27	252	4205
28	261	4201
29	269	4184
30	279	4183
31	288	4175
32	298	4178
33	306	4158
34	314	4130
35	324	4133
36	332	4115
37	341	4107
38	349	4085
39	357	4065
40	365	4052
41	373	4025
42	381	4009
43	390	4005
44	399	3994
45	409	3993
46	417	3982
47	425	3961
48	433	3945
49	441	3928
50	450	3922
51	459	3916
52	468	3905
53	478	3906
54	486	3890
55	496	3892
56	506	3890
57	515	3883
58	524	3876
59	533	3871
60	543	3865
61	555	3881
62	564	3868
63	573	3863
64	582	3851
65	590	3837
66	600	3833
67	607	3816
68	616	3805
69	624	3790
70	632	3779
71	641	3767
72	651	3767
73	659	3753
74	667	3738
75	676	3727
76	683	3709
77	692	3700
78	701	3693
79	709	3679
80	717	3666
81	724	3650
82	732	3636
83	739	3620
84	747	3607
85	757	3600
86	765	3590
87	773	3577
88	781	3565
89	788	3550
90	797	3541
91	805	3530
92	815	3523
93	822	3510
94	830	3496
95	837	3482
96	845	3470
97	853	3457
98	861	3446
99	868	3430
100	876	3417
101	883	3403
102	890	3390
103	899	3380
104	907	3371
105	916	3364
106	924	3350
107	933	3344
108	942	3337
109	950	3325
110	959	3318
111	968	3311
112	977	3304
113	985	3293
114	993	3283
115	1002	3275
116	1010	3265
117	1018	3254
118	1026	3244
119	1034	3234
120	1041	3218
121	1048	3206
122	1056	3194
123	1065	3187
124	1073	3176
125	1081	3166
126	1088	3154
127	1097	3145
128	1105	3135
129	1113	3125
130	1120	3114
131	1129	3107
132	1140	3102
133	1148	3093
134	1156	3084
135	1165	3075
136	1174	3067
137	1182	3060
138	1191	3051
139	1199	3042
140	1208	3035
141	1216	3025
142	1225	3016
143	1233	3007
144	1244	3002
145	1252	2993
146	1260	2984
147	1268	2974
148	1276	2964
149	1284	2954
150	1292	2944
151	1298	2929
152	1306	2920
153	1315	2912
154	1322	2901
155	1330	2891
156	1338	2881
157	1348	2876
158	1357	2869
159	1365	2858
160	1373	2848
161	1380	2838
162	1390	2831
163	1397	2819
164	1405	2811
165	1414	2802
166	1421	2792
167	1429	2782
168	1436	2770
169	1444	2761
170	1452	2752
171	1461	2744
172	1469	2735
173	1477	2726
174	1485	2716
175	1492	2705
176	1501	2696
177	1509	2688
178	1519	2681
179	1526	2672
180	1534	2662
181	1543	2653
182	1551	2645
183	1559	2636
184	1568	2628
185	1578	2621
186	1585	2611
187	1594	2603
188	1603	2595
189	1612	2588
190	1622	2582
191	1631	2575
192	1640	2566
193	1647	2556
194	1655	2546
195	1663	2536
196	1670	2527
197	1678	2517
198	1687	2510
199	1695	2500
200	1702	2490
201	1711	2482
202	1719	2473
203	1727	2464
204	1734	2454
205	1743	2446
206	1751	2436
207	1760	2429
208	1768	2419
209	1776	2411
210	1785	2403
211	1793	2393
212	1800	2383
213	1808	2374
214	1817	2366
215	1825	2357
216	1834	2349
217	1842	2341
218	1851	2332
219	1858	2323
220	1867	2314
221	1875	2306
222	1883	2297
223	1891	2288
224	1898	2278
225	1906	2269
226	1914	2260
227	1923	2251
228	1931	2243
229	1940	2235
230	1947	2225
231	1954	2215
232	1963	2207
233	1971	2199
234	1978	2188
235	1986	2180
236	1993	2170
237	2001	2161
238	2008	2151
239	2017	2143
240	2024	2134
241	2032	2125
242	2042	2117
243	2049	2108
244	2059	2101
245	2066	2091
246	2075	2083
247	2084	2076
248	2092	2067
249	2100	2058
250	2107	2048
251	2114	2039
252	2122	2029
253	2129	2020
254	2138	2012
255	2145	2002
256	2152	1993
257	2160	1984
258	2168	1976
259	2177	1968
260	2185	1959
261	2194	1951
262	2203	1943
263	2212	1935
264	2220	1927
265	2230	1920
266	2239	1911
267	2247	1903
